node_id,sub_node_id,utm_x,utm_y,its800_ip,cameras,radar
18000025,18000025,776024.94,3310563.75,100.100.49.172,"[{'ip': '100.100.49.73', 'name': '中焦', 'utm_x': 776024.94, 'utm_y': 3310563.75, 'coverage': '[{""utmX"":776022.56,""utmY"":3310528.68},{""utmX"":776009.58,""utmY"":3310537.06},{""utmX"":775931.74,""utmY"":3310420.45},{""utmX"":775944.73,""utmY"":3310412.2}]'}, {'ip': '100.100.49.74', 'name': '长焦', 'utm_x': 776024.94, 'utm_y': 3310563.75, 'coverage': '[{""utmX"":775961.28,""utmY"":3310437.1},{""utmX"":775948.39,""utmY"":3310445.43},{""utmX"":775781.23,""utmY"":3310196.08},{""utmX"":775794.03,""utmY"":3310187.79},{""utmX"":775811.4,""utmY"":3310213.8}]'}]","[{'ip': '100.100.49.75', 'name': '雷达', 'utm_x': 776024.94, 'utm_y': 3310563.75, 'coverage': ''}, {'ip': '100.100.49.76', 'name': '雷达', 'utm_x': 776024.94, 'utm_y': 3310563.75, 'coverage': ''}]"
18000026,18000026,775810.45,3310242.55,100.100.49.173,"[{'ip': '100.100.49.78', 'name': '中焦', 'utm_x': 775810.45, 'utm_y': 3310242.55, 'coverage': '[{""utmX"":775807.07,""utmY"":3310207.21},{""utmX"":775794.51,""utmY"":3310215.69},{""utmX"":775755.06,""utmY"":3310157.81},{""utmX"":775767.7,""utmY"":3310149.32}]'}, {'ip': '100.100.49.79', 'name': '长焦', 'utm_x': 775810.45, 'utm_y': 3310242.55, 'coverage': '[{""utmX"":775790.21,""utmY"":3310182.51},{""utmX"":775777.7,""utmY"":3310190.77},{""utmX"":775668.89,""utmY"":3310035.03},{""utmX"":775681.55,""utmY"":3310025.91}]'}]","[{'ip': '100.100.49.80', 'name': '雷达', 'utm_x': 775810.45, 'utm_y': 3310242.55, 'coverage': ''}, {'ip': '100.100.49.81', 'name': '雷达', 'utm_x': 775810.45, 'utm_y': 3310242.55, 'coverage': ''}]"
18000027,18000027,775692.02,3310077.22,100.100.49.174,"[{'ip': '100.100.49.83', 'name': '中焦', 'utm_x': 775692.02, 'utm_y': 3310077.22, 'coverage': '[{""utmX"":775693.02,""utmY"":3310041.72},{""utmX"":775679.46,""utmY"":3310050.63},{""utmX"":775603.39,""utmY"":3309945.71},{""utmX"":775617.23,""utmY"":3309936.25}]'}, {'ip': '100.100.49.84', 'name': '长焦', 'utm_x': 775692.02, 'utm_y': 3310077.22, 'coverage': '[{""utmX"":775634.37,""utmY"":3309960.08},{""utmX"":775621.06,""utmY"":3309969.56},{""utmX"":775598.59,""utmY"":3309938.48},{""utmX"":775572.44,""utmY"":3309902.92},{""utmX"":775554.59,""utmY"":3309878.93},{""utmX"":775528.75,""utmY"":3309844.37},{""utmX"":775488.68,""utmY"":3309791.41},{""utmX"":775450.98,""utmY"":3309742.85},{""utmX"":775410.75,""utmY"":3309691.04},{""utmX"":775366.5,""utmY"":3309635.55},{""utmX"":775379.17,""utmY"":3309625.66},{""utmX"":775391.77,""utmY"":3309641.61},{""utmX"":775415.45,""utmY"":3309671.51},{""utmX"":775439.81,""utmY"":3309703.0},{""utmX"":775460.78,""utmY"":3309729.63},{""utmX"":775472.98,""utmY"":3309745.42},{""utmX"":775492.41,""utmY"":3309770.6},{""utmX"":775513.51,""utmY"":3309797.73},{""utmX"":775537.56,""utmY"":3309829.71},{""utmX"":775564.5,""utmY"":3309865.35},{""utmX"":775594.32,""utmY"":3309905.86}]'}]","[{'ip': '100.100.49.85', 'name': '雷达', 'utm_x': 775692.02, 'utm_y': 3310077.22, 'coverage': ''}]"
18000028,18000028,749194.64,3286207.23,100.100.54.151,"[{'ip': '100.100.54.1', 'name': '中焦', 'utm_x': 749194.64, 'utm_y': 3286207.23, 'coverage': '[{""utmX"":749194.32,""utmY"":3286172.27},{""utmX"":749179.56,""utmY"":3286180.77},{""utmX"":749162.71,""utmY"":3286154.7},{""utmX"":749151.63,""utmY"":3286137.46},{""utmX"":749131.62,""utmY"":3286107.51},{""utmX"":749120.88,""utmY"":3286090.72},{""utmX"":749105.02,""utmY"":3286068.26},{""utmX"":749119.38,""utmY"":3286058.86},{""utmX"":749138.87,""utmY"":3286087.46},{""utmX"":749150.44,""utmY"":3286104.49},{""utmX"":749163.07,""utmY"":3286123.56},{""utmX"":749172.76,""utmY"":3286138.66},{""utmX"":749181.14,""utmY"":3286151.5},{""utmX"":749190.82,""utmY"":3286166.93}]'}, {'ip': '100.100.54.2', 'name': '长焦', 'utm_x': 749194.64, 'utm_y': 3286207.23, 'coverage': '[{""utmX"":749136.63,""utmY"":3286084.07},{""utmX"":749122.46,""utmY"":3286093.25},{""utmX"":749061.53,""utmY"":3286007.41},{""utmX"":749043.22,""utmY"":3285983.9},{""utmX"":749026.71,""utmY"":3285962.79},{""utmX"":749008.34,""utmY"":3285938.94},{""utmX"":748980.18,""utmY"":3285904.73},{""utmX"":748993.22,""utmY"":3285894.03},{""utmX"":749007.72,""utmY"":3285911.5},{""utmX"":749018.92,""utmY"":3285925.5},{""utmX"":749034.39,""utmY"":3285945.06},{""utmX"":749047.23,""utmY"":3285961.2},{""utmX"":749064.17,""utmY"":3285982.58},{""utmX"":749080.53,""utmY"":3286004.56},{""utmX"":749097.37,""utmY"":3286027.43},{""utmX"":749113.61,""utmY"":3286050.37}]'}]","[{'ip': '100.100.54.3', 'name': '雷达', 'utm_x': 749194.64, 'utm_y': 3286207.23, 'coverage': ''}]"
18000029,18000029,749015.7,3285951.06,100.100.54.152,"[{'ip': '100.100.54.5', 'name': '中焦', 'utm_x': 749015.7, 'utm_y': 3285951.06, 'coverage': '[{""utmX"":749011.05,""utmY"":3285916.27},{""utmX"":748999.19,""utmY"":3285926.19},{""utmX"":748972.38,""utmY"":3285894.37},{""utmX"":748934.93,""utmY"":3285851.0},{""utmX"":748893.3,""utmY"":3285805.28},{""utmX"":748905.97,""utmY"":3285794.9},{""utmX"":748931.84,""utmY"":3285823.21},{""utmX"":748954.44,""utmY"":3285848.48},{""utmX"":748979.38,""utmY"":3285877.91},{""utmX"":748996.08,""utmY"":3285897.91}]'}, {'ip': '100.100.54.6', 'name': '长焦', 'utm_x': 749015.7, 'utm_y': 3285951.06, 'coverage': '[{""utmX"":748926.15,""utmY"":3285817.02},{""utmX"":748914.47,""utmY"":3285827.58},{""utmX"":748881.73,""utmY"":3285792.33},{""utmX"":748850.87,""utmY"":3285760.07},{""utmX"":748826.69,""utmY"":3285735.37},{""utmX"":748789.87,""utmY"":3285699.7},{""utmX"":748761.98,""utmY"":3285673.4},{""utmX"":748734.16,""utmY"":3285647.94},{""utmX"":748717.49,""utmY"":3285632.83},{""utmX"":748698.85,""utmY"":3285616.55},{""utmX"":748652.19,""utmY"":3285576.79},{""utmX"":748662.35,""utmY"":3285565.01},{""utmX"":748752.21,""utmY"":3285642.8},{""utmX"":748764.42,""utmY"":3285653.75},{""utmX"":748794.85,""utmY"":3285682.37},{""utmX"":748824.15,""utmY"":3285710.66},{""utmX"":748849.99,""utmY"":3285736.15},{""utmX"":748877.68,""utmY"":3285764.71},{""utmX"":748898.58,""utmY"":3285786.92}]'}]","[{'ip': '100.100.54.7', 'name': '雷达', 'utm_x': 749015.7, 'utm_y': 3285951.06, 'coverage': ''}, {'ip': '100.100.54.8', 'name': '雷达', 'utm_x': 749015.7, 'utm_y': 3285951.06, 'coverage': ''}]"
18000030,18000030,748695.84,3285616.16,100.100.54.153,"[{'ip': '100.100.54.10', 'name': '中焦', 'utm_x': 748695.84, 'utm_y': 3285616.16, 'coverage': '[{""utmX"":748684.06,""utmY"":3285583.38},{""utmX"":748673.95,""utmY"":3285595.13},{""utmX"":748623.43,""utmY"":3285554.05},{""utmX"":748572.27,""utmY"":3285514.06},{""utmX"":748581.63,""utmY"":3285501.74},{""utmX"":748616.78,""utmY"":3285528.9},{""utmX"":748640.36,""utmY"":3285547.5}]'}, {'ip': '100.100.54.11', 'name': '长焦', 'utm_x': 748695.84, 'utm_y': 3285616.16, 'coverage': '[{""utmX"":748605.84,""utmY"":3285520.54},{""utmX"":748595.9,""utmY"":3285532.47},{""utmX"":748568.14,""utmY"":3285511.31},{""utmX"":748506.96,""utmY"":3285465.79},{""utmX"":748344.9,""utmY"":3285350.48},{""utmX"":748354.57,""utmY"":3285337.03},{""utmX"":748410.05,""utmY"":3285376.71},{""utmX"":748443.8,""utmY"":3285400.55},{""utmX"":748472.88,""utmY"":3285421.45},{""utmX"":748501.03,""utmY"":3285441.53},{""utmX"":748526.01,""utmY"":3285459.75},{""utmX"":748547.58,""utmY"":3285475.48}]'}]","[{'ip': '100.100.54.12', 'name': '雷达', 'utm_x': 748695.84, 'utm_y': 3285616.16, 'coverage': ''}, {'ip': '100.100.54.13', 'name': '雷达', 'utm_x': 748695.84, 'utm_y': 3285616.16, 'coverage': ''}]"
18000031,18000031,748398.32,3285390.18,100.100.54.154,"[{'ip': '100.100.54.15', 'name': '中焦', 'utm_x': 748398.32, 'utm_y': 3285390.18, 'coverage': '[{""utmX"":748382.15,""utmY"":3285356.48},{""utmX"":748372.89,""utmY"":3285369.53},{""utmX"":748258.13,""utmY"":3285288.46},{""utmX"":748268.09,""utmY"":3285275.91}]'}, {'ip': '100.100.54.16', 'name': '长焦', 'utm_x': 748398.32, 'utm_y': 3285390.18, 'coverage': '[{""utmX"":748292.36,""utmY"":3285293.12},{""utmX"":748282.96,""utmY"":3285305.76},{""utmX"":748050.29,""utmY"":3285140.98},{""utmX"":748059.53,""utmY"":3285128.42}]'}]","[{'ip': '100.100.54.17', 'name': '雷达', 'utm_x': 748398.32, 'utm_y': 3285390.18, 'coverage': ''}, {'ip': '100.100.54.18', 'name': '雷达', 'utm_x': 748398.32, 'utm_y': 3285390.18, 'coverage': ''}]"
18000032,18000032,748086.46,3285168.05,100.100.54.156,"[{'ip': '100.100.54.20', 'name': '中焦', 'utm_x': 748086.46, 'utm_y': 3285168.05, 'coverage': '[{""utmX"":748073.05,""utmY"":3285138.28},{""utmX"":748063.43,""utmY"":3285151.33},{""utmX"":747953.62,""utmY"":3285073.17},{""utmX"":747962.97,""utmY"":3285060.22}]'}, {'ip': '100.100.54.21', 'name': '长焦', 'utm_x': 748086.46, 'utm_y': 3285168.05, 'coverage': '[{""utmX"":747987.64,""utmY"":3285077.69},{""utmX"":747977.98,""utmY"":3285090.47},{""utmX"":747761.95,""utmY"":3284937.17},{""utmX"":747771.2,""utmY"":3284924.35}]'}]","[{'ip': '100.100.54.22', 'name': '雷达', 'utm_x': 748086.46, 'utm_y': 3285168.05, 'coverage': ''}, {'ip': '100.100.54.23', 'name': '雷达', 'utm_x': 748086.46, 'utm_y': 3285168.05, 'coverage': ''}]"
18000033,18000033,747810.67,3284973.2,100.100.54.157,"[{'ip': '100.100.54.25', 'name': '中焦', 'utm_x': 747810.67, 'utm_y': 3284973.2, 'coverage': '[{""utmX"":747795.99,""utmY"":3284941.9},{""utmX"":747786.96,""utmY"":3284954.17},{""utmX"":747729.87,""utmY"":3284913.66},{""utmX"":747738.76,""utmY"":3284901.2}]'}, {'ip': '100.100.54.26', 'name': '长焦', 'utm_x': 747810.67, 'utm_y': 3284973.2, 'coverage': '[{""utmX"":747763.22,""utmY"":3284918.68},{""utmX"":747754.37,""utmY"":3284930.95},{""utmX"":747603.31,""utmY"":3284824.16},{""utmX"":747612.27,""utmY"":3284811.76}]'}]","[{'ip': '100.100.54.27', 'name': '雷达', 'utm_x': 747810.67, 'utm_y': 3284973.2, 'coverage': ''}, {'ip': '100.100.54.28', 'name': '雷达', 'utm_x': 747810.67, 'utm_y': 3284973.2, 'coverage': ''}]"
18000034,18000034,747639.93,3284852.09,100.100.54.158,"[{'ip': '100.100.54.30', 'name': '中焦', 'utm_x': 747639.93, 'utm_y': 3284852.09, 'coverage': '[{""utmX"":747625.49,""utmY"":3284821.46},{""utmX"":747616.54,""utmY"":3284833.9},{""utmX"":747506.31,""utmY"":3284756.03},{""utmX"":747515.3,""utmY"":3284743.39}]'}, {'ip': '100.100.54.31', 'name': '长焦', 'utm_x': 747639.93, 'utm_y': 3284852.09, 'coverage': '[{""utmX"":747539.75,""utmY"":3284760.74},{""utmX"":747530.79,""utmY"":3284773.58},{""utmX"":747322.62,""utmY"":3284626.04},{""utmX"":747331.78,""utmY"":3284613.19}]'}]","[{'ip': '100.100.54.32', 'name': '雷达', 'utm_x': 747639.93, 'utm_y': 3284852.09, 'coverage': ''}]"
